# Selection     : patch(outlet)
# Faces         : 10
# Area          : 1.00000000e-01
# Time          	max(U)	max(p)
16              	(1.47015223e+00 4.20030673e-05 0.00000000e+00)	0.00000000e+00
16.05           	(1.47015223e+00 4.20073971e-05 0.00000000e+00)	0.00000000e+00
16.1            	(1.47015223e+00 4.20128780e-05 0.00000000e+00)	0.00000000e+00
16.15           	(1.47015223e+00 4.20126727e-05 0.00000000e+00)	0.00000000e+00
16.2            	(1.47015222e+00 4.20131843e-05 0.00000000e+00)	0.00000000e+00
16.25           	(1.47015223e+00 4.20071229e-05 0.00000000e+00)	0.00000000e+00
16.3            	(1.47015222e+00 4.20103265e-05 0.00000000e+00)	0.00000000e+00
16.35           	(1.47015222e+00 4.20081165e-05 0.00000000e+00)	0.00000000e+00
16.4            	(1.47015222e+00 4.20028957e-05 0.00000000e+00)	0.00000000e+00
16.45           	(1.47015222e+00 4.20005417e-05 0.00000000e+00)	0.00000000e+00
16.5            	(1.47015223e+00 4.20000393e-05 0.00000000e+00)	0.00000000e+00
16.55           	(1.47015223e+00 4.20025038e-05 0.00000000e+00)	0.00000000e+00
16.6            	(1.47015223e+00 4.20035404e-05 0.00000000e+00)	0.00000000e+00
16.65           	(1.47015222e+00 4.20041523e-05 0.00000000e+00)	0.00000000e+00
16.7            	(1.47015223e+00 4.20045362e-05 0.00000000e+00)	0.00000000e+00
16.75           	(1.47015223e+00 4.20046125e-05 0.00000000e+00)	0.00000000e+00
16.8            	(1.47015224e+00 4.20044520e-05 0.00000000e+00)	0.00000000e+00
16.85           	(1.47015224e+00 4.20042310e-05 0.00000000e+00)	0.00000000e+00
16.9            	(1.47015222e+00 4.20040890e-05 0.00000000e+00)	0.00000000e+00
16.95           	(1.47015223e+00 4.19993704e-05 0.00000000e+00)	0.00000000e+00
17              	(1.47015222e+00 4.19974927e-05 0.00000000e+00)	0.00000000e+00
17.05           	(1.47015222e+00 4.19961983e-05 0.00000000e+00)	0.00000000e+00
17.1            	(1.47015222e+00 4.19997719e-05 0.00000000e+00)	0.00000000e+00
17.15           	(1.47015222e+00 4.19982705e-05 0.00000000e+00)	0.00000000e+00
17.2            	(1.47015223e+00 4.20005279e-05 0.00000000e+00)	0.00000000e+00
17.25           	(1.47015222e+00 4.20050468e-05 0.00000000e+00)	0.00000000e+00
17.3            	(1.47015223e+00 4.20080090e-05 0.00000000e+00)	0.00000000e+00
17.35           	(1.47015223e+00 4.20112158e-05 0.00000000e+00)	0.00000000e+00
17.4            	(1.47015223e+00 4.20102403e-05 0.00000000e+00)	0.00000000e+00
17.45           	(1.47015223e+00 4.20072191e-05 0.00000000e+00)	0.00000000e+00
17.5            	(1.47015222e+00 4.20058673e-05 0.00000000e+00)	0.00000000e+00
17.55           	(1.47015223e+00 4.20032453e-05 0.00000000e+00)	0.00000000e+00
17.6            	(1.47015223e+00 4.20036469e-05 0.00000000e+00)	0.00000000e+00
17.65           	(1.47015223e+00 4.20027321e-05 0.00000000e+00)	0.00000000e+00
17.7            	(1.47015222e+00 4.20022757e-05 0.00000000e+00)	0.00000000e+00
17.75           	(1.47015222e+00 4.20008560e-05 0.00000000e+00)	0.00000000e+00
17.8            	(1.47015222e+00 4.20013851e-05 0.00000000e+00)	0.00000000e+00
17.85           	(1.47015222e+00 4.20014881e-05 0.00000000e+00)	0.00000000e+00
17.9            	(1.47015222e+00 4.20027983e-05 0.00000000e+00)	0.00000000e+00
17.95           	(1.47015222e+00 4.20035778e-05 0.00000000e+00)	0.00000000e+00
18              	(1.47015222e+00 4.20044096e-05 0.00000000e+00)	0.00000000e+00
18.05           	(1.47015222e+00 4.20051402e-05 0.00000000e+00)	0.00000000e+00
18.1            	(1.47015223e+00 4.20056730e-05 0.00000000e+00)	0.00000000e+00
18.15           	(1.47015224e+00 4.20059990e-05 0.00000000e+00)	0.00000000e+00
18.2            	(1.47015223e+00 4.20090782e-05 0.00000000e+00)	0.00000000e+00
18.25           	(1.47015223e+00 4.20090766e-05 0.00000000e+00)	0.00000000e+00
18.3            	(1.47015222e+00 4.20085794e-05 0.00000000e+00)	0.00000000e+00
18.35           	(1.47015222e+00 4.20076928e-05 0.00000000e+00)	0.00000000e+00
18.4            	(1.47015223e+00 4.20066945e-05 0.00000000e+00)	0.00000000e+00
18.45           	(1.47015223e+00 4.20058663e-05 0.00000000e+00)	0.00000000e+00
18.5            	(1.47015222e+00 4.20054096e-05 0.00000000e+00)	0.00000000e+00
18.55           	(1.47015221e+00 4.20053559e-05 0.00000000e+00)	0.00000000e+00
18.6            	(1.47015223e+00 4.19992527e-05 0.00000000e+00)	0.00000000e+00
18.65           	(1.47015223e+00 4.19989727e-05 0.00000000e+00)	0.00000000e+00
18.7            	(1.47015223e+00 4.20007641e-05 0.00000000e+00)	0.00000000e+00
18.75           	(1.47015222e+00 4.20046157e-05 0.00000000e+00)	0.00000000e+00
18.8            	(1.47015223e+00 4.20038904e-05 0.00000000e+00)	0.00000000e+00
18.85           	(1.47015223e+00 4.20047201e-05 0.00000000e+00)	0.00000000e+00
18.9            	(1.47015222e+00 4.20074391e-05 0.00000000e+00)	0.00000000e+00
18.95           	(1.47015222e+00 4.20074517e-05 0.00000000e+00)	0.00000000e+00
19              	(1.47015222e+00 4.20074866e-05 0.00000000e+00)	0.00000000e+00
19.05           	(1.47015223e+00 4.20053009e-05 0.00000000e+00)	0.00000000e+00
19.1            	(1.47015223e+00 4.20048727e-05 0.00000000e+00)	0.00000000e+00
19.15           	(1.47015223e+00 4.20043866e-05 0.00000000e+00)	0.00000000e+00
19.2            	(1.47015223e+00 4.20041092e-05 0.00000000e+00)	0.00000000e+00
19.25           	(1.47015222e+00 4.20040461e-05 0.00000000e+00)	0.00000000e+00
19.3            	(1.47015222e+00 4.20041353e-05 0.00000000e+00)	0.00000000e+00
19.35           	(1.47015223e+00 4.20042797e-05 0.00000000e+00)	0.00000000e+00
19.4            	(1.47015223e+00 4.20044167e-05 0.00000000e+00)	0.00000000e+00
19.45           	(1.47015223e+00 4.20068870e-05 0.00000000e+00)	0.00000000e+00
19.5            	(1.47015222e+00 4.20073644e-05 0.00000000e+00)	0.00000000e+00
19.55           	(1.47015222e+00 4.20071097e-05 0.00000000e+00)	0.00000000e+00
19.6            	(1.47015222e+00 4.20053384e-05 0.00000000e+00)	0.00000000e+00
19.65           	(1.47015222e+00 4.20053878e-05 0.00000000e+00)	0.00000000e+00
19.7            	(1.47015222e+00 4.20045534e-05 0.00000000e+00)	0.00000000e+00
19.75           	(1.47015222e+00 4.20032971e-05 0.00000000e+00)	0.00000000e+00
19.8            	(1.47015222e+00 4.20031212e-05 0.00000000e+00)	0.00000000e+00
19.85           	(1.47015222e+00 4.20019567e-05 0.00000000e+00)	0.00000000e+00
19.9            	(1.47015222e+00 4.20024027e-05 0.00000000e+00)	0.00000000e+00
19.95           	(1.47015222e+00 4.20036945e-05 0.00000000e+00)	0.00000000e+00
20              	(1.47015222e+00 4.20042015e-05 0.00000000e+00)	0.00000000e+00
